,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
276,umm lajj,0,SA,1547170735,100,25.02,37.27,58.03,8.41
277,lorengau,0,PG,1547170735,92,-2.02,147.27,85.93,9.08
278,gravdal,24,NO,1547169600,93,59.79,5.78,46.4,18.34
279,imbituba,20,BR,1547168400,78,-28.24,-48.67,77.0,5.82
280,pangnirtung,0,CA,1547170736,42,66.15,-65.72,-26.85,3.27
281,rosarito,75,CO,1547168400,88,4.91,-75.23,71.6,3.36
282,rio grande,32,BR,1547170584,100,-32.03,-52.1,69.01,6.96
283,west bay,40,GB,1547169600,93,50.71,-2.76,42.8,5.82
284,dingle,32,PH,1547170738,71,11.0,122.67,81.61,17.25
285,naze,8,NG,1547168400,88,5.43,7.07,73.4,9.19
286,veraval,90,FR,1547168400,93,49.65,0.71,42.8,3.36
287,katherine,0,AU,1547168400,66,-14.47,132.26,87.8,10.29
288,george,20,NG,1547168400,88,6.63,3.35,80.6,6.29
289,walvis bay,0,NA,1547168400,82,-22.95,14.51,57.2,4.7
290,asuncion,75,PY,1547168400,78,-25.3,-57.63,78.8,5.82
291,marti,75,CU,1547167800,83,21.15,-77.45,69.8,5.82
292,sao joao da barra,20,BR,1547170741,97,-21.64,-41.05,78.95,12.21
293,mount isa,0,AU,1547168400,34,-20.73,139.49,95.0,10.29
294,kintampo,24,GH,1547170742,92,8.05,-1.73,70.54,8.75
295,tuatapere,88,NZ,1547170742,100,-46.13,167.69,53.26,15.9
296,chimoio,76,MZ,1547170743,98,-19.11,33.48,73.06,2.93
297,the valley,40,AI,1547168400,73,18.22,-63.06,77.0,6.93
298,laguna,75,MX,1547167260,52,27.52,-110.01,69.8,1.92
299,chachapoyas,68,PE,1547170743,97,-6.23,-77.87,58.25,0.69
300,te anau,44,NZ,1547170744,49,-45.41,167.72,58.93,9.19
301,manono,32,CD,1547170744,96,-7.3,27.4,67.61,2.82
302,alta floresta,56,BR,1547170744,95,-9.87,-56.08,73.91,2.15
303,shaowu,92,CN,1547170745,100,27.34,117.49,50.47,2.15
304,waipawa,8,NZ,1547170745,42,-39.94,176.59,75.98,15.68
305,komsomolskiy,24,RU,1547170483,67,67.55,63.78,-9.61,14.0
306,houma,24,CN,1547170746,78,35.63,111.36,28.78,3.15
307,santa rosa,0,AR,1547170470,59,-36.62,-64.29,55.28,9.86
308,seydi,8,NE,1547170748,66,13.34,7.75,56.0,2.93
309,la ronge,90,CA,1547168400,77,55.1,-105.3,3.2,8.05
310,hargeysa,0,SO,1547170748,74,9.56,44.06,42.14,6.4
311,hobyo,76,SO,1547170749,83,5.35,48.53,77.02,19.48
312,nipawin,90,CA,1547169060,84,53.36,-104.02,6.8,11.41
313,yuanping,0,CN,1547170750,63,38.72,112.71,22.16,3.27
314,salamanca,0,ES,1547168400,79,40.97,-5.66,24.8,5.82
315,sandpoint,90,US,1547169000,100,48.28,-116.55,37.4,2.26
316,coahuayana,0,MX,1547170751,73,18.62,-100.35,61.18,1.92
317,kudahuvadhoo,56,MV,1547170751,100,2.67,72.89,78.37,7.29
318,jizan,20,SA,1547164800,78,16.89,42.56,78.8,4.38
319,caravelas,68,BR,1547170751,100,-17.73,-39.27,79.85,10.2
320,kirakira,44,SB,1547170752,100,-10.46,161.92,83.59,7.29
321,port-gentil,92,GA,1547170624,100,-0.72,8.78,78.86,4.61
322,katobu,76,ID,1547170752,86,-4.94,122.53,85.25,2.59
323,kawalu,44,ID,1547170753,83,-7.38,108.21,77.56,0.58
324,sechura,64,PE,1547170754,88,-5.56,-80.82,73.51,6.96
325,porto novo,40,BR,1547168400,83,-23.68,-45.44,75.2,3.15
326,lamar,1,US,1547167980,35,38.09,-102.62,44.96,6.93
327,dukat,68,RS,1547170754,92,42.44,22.31,20.59,0.36
328,vila franca do campo,75,PT,1547168400,87,37.72,-25.43,57.2,19.46
329,lavra,0,PT,1547168400,45,41.26,-8.72,48.2,14.99
330,tocache,92,PE,1547170755,96,-8.19,-76.51,58.34,1.81
331,rosignol,12,GY,1547170755,83,6.28,-57.53,76.7,6.29
332,lac du bonnet,92,CA,1547170756,84,50.25,-96.06,12.49,10.65
333,xiamen,90,CN,1547168400,88,24.46,118.07,64.4,2.24
334,yar-sale,8,RU,1547170756,100,66.83,70.83,-23.34,3.94
335,katsuura,75,JP,1547168400,50,33.93,134.5,51.8,10.29
336,iberia,68,PE,1547170757,100,-11.41,-69.49,74.99,1.36
337,georgiyevka,92,RU,1547170757,92,52.25,40.45,18.74,11.54
338,inirida,20,CO,1547170758,92,3.87,-67.92,74.32,2.04
339,santiago del estero,88,AR,1547170758,71,-27.8,-64.26,67.21,17.36
340,el tocuyo,40,VE,1547164800,73,9.79,-69.8,75.2,6.93
341,birao,0,CF,1547170759,62,10.3,22.78,58.25,8.63
342,haines junction,8,CA,1547170759,0,60.75,-137.51,-43.27,2.15
343,yeppoon,75,AU,1547168400,78,-23.13,150.74,78.8,5.82
344,bandarbeyla,92,SO,1547170761,100,9.49,50.81,75.71,21.16
345,marshall,1,US,1547169300,79,39.39,-87.69,24.98,2.82
346,yako,0,BF,1547170762,40,12.96,-2.26,59.6,5.39
347,lavrentiya,0,RU,1547170762,82,65.58,-170.99,-8.35,14.79
348,broken hill,0,AU,1547168400,24,-31.97,141.45,93.2,8.05
349,san cristobal,75,EC,1547168400,100,-0.39,-78.55,55.4,4.7
350,glendive,1,US,1547169300,78,47.11,-104.71,35.6,6.93
351,berezovyy,0,RU,1547170764,52,51.67,135.7,-4.8,3.38
352,honiara,88,SB,1547170764,92,-9.43,159.96,79.81,2.71
353,sarab,0,IR,1547170764,66,38.61,44.99,4.7,2.59
354,darhan,12,MN,1547170765,56,49.49,105.92,-3.0,2.93
355,mmathubudukwane,20,BW,1547168400,83,-24.61,26.43,69.8,3.36
356,mezhdurechensk,68,RU,1547170766,76,53.69,88.07,4.21,3.38
357,abbeville,90,FR,1547168400,93,50.11,1.83,41.0,3.36
358,linhares,0,BR,1547170766,94,-19.38,-40.06,73.19,3.27
359,nanortalik,32,GL,1547170766,84,60.14,-45.24,27.97,5.73
360,mombasa,75,KE,1547164800,88,-4.05,39.67,78.8,4.7
361,provideniya,0,RU,1547168400,64,64.42,-173.23,-0.41,6.71
362,kamennogorsk,90,RU,1547169600,92,60.95,29.13,26.6,12.75
363,vardo,90,US,1547169600,50,39.62,-77.74,30.2,21.92
364,hambantota,40,LK,1547165400,100,6.12,81.12,75.2,3.36
365,peace river,40,CA,1547168400,77,56.23,-117.29,5.0,5.82
366,aleksandrovskiy zavod,0,RU,1547170769,65,50.92,117.94,1.1,2.82
367,miraflores,92,CO,1547170770,95,5.2,-73.14,53.48,0.92
368,sheopur,0,IN,1547170770,79,25.67,76.7,47.32,2.71
369,ilulissat,0,GL,1547167800,53,69.22,-51.1,-5.81,8.05
370,aripuana,48,BR,1547170771,93,-9.17,-60.63,74.68,2.71
371,antalaha,92,MG,1547170771,96,-14.9,50.28,76.39,0.92
372,havre-saint-pierre,75,CA,1547168820,92,50.23,-63.6,28.4,17.22
373,prince rupert,90,CA,1547168400,87,54.32,-130.32,44.6,11.41
374,kotido,0,UG,1547170772,61,3.01,34.12,61.81,7.07
375,kitui,44,KE,1547170773,73,-1.37,38.02,61.04,4.27
376,wanaka,0,NZ,1547170773,27,-44.7,169.14,66.53,4.94
377,bilma,0,NE,1547170774,69,18.69,12.92,41.6,2.48
378,vanimo,0,PG,1547170774,100,-2.67,141.3,81.97,9.42
379,maceio,20,BR,1547168400,83,-9.67,-35.74,75.2,2.24
380,bagdarin,24,RU,1547170774,57,54.44,113.59,-8.89,2.48
381,tucupita,36,VE,1547170775,74,9.06,-62.05,78.05,8.3
382,tautira,75,PF,1547168400,74,-17.73,-149.15,80.6,8.05
383,aksum,0,ET,1547170775,74,14.12,38.72,32.74,2.59
384,canutama,48,BR,1547170776,94,-6.53,-64.38,73.19,2.82
385,makakilo city,1,US,1547168220,64,21.35,-158.09,80.06,12.75
386,san vicente,0,SV,1547167800,78,13.64,-88.78,80.6,3.36
387,datong,0,CN,1547170778,61,40.09,113.3,20.36,3.94
388,washougal,1,US,1547167980,70,45.58,-122.35,53.06,21.92
389,savannah bight,90,HN,1547164800,94,16.45,-85.85,73.4,2.24
390,clive,1,US,1547170500,67,41.61,-93.78,30.02,11.41
391,wanning,90,AT,1547169600,74,48.64,13.53,28.4,4.7
392,adrar,0,DZ,1547168400,24,27.87,-0.29,46.4,8.05
393,kommunar,90,RU,1547168400,85,59.62,30.39,23.0,6.71
394,camacha,75,PT,1547168400,58,33.08,-16.33,59.0,3.36
395,singaraja,32,ID,1547170784,82,-8.11,115.08,82.69,1.59
396,juneau,90,US,1547168640,92,58.3,-134.42,26.6,2.93
397,matagami,0,NG,1547170784,50,9.67,8.4,58.66,5.95
398,uspenskaya,76,RU,1547170785,66,45.78,41.07,30.26,5.06
399,saint-georges,76,CA,1547170786,64,46.12,-70.67,19.69,10.65
400,ukiah,1,US,1547168160,68,39.15,-123.21,53.06,4.7
401,kankon,0,IN,1547164800,82,15.02,74.02,68.0,2.24
402,lompoc,1,US,1547169300,86,34.64,-120.46,57.02,9.17
403,muros,0,ES,1547168400,74,42.77,-9.06,41.0,5.82
404,amga,44,RU,1547170788,33,60.89,131.98,-22.84,2.93
405,kamenka,80,RU,1547170788,81,53.19,44.05,8.03,10.09
406,bedele,0,ET,1547170789,76,8.46,36.35,40.21,2.48
407,lagoa,0,PT,1547168400,61,37.14,-8.45,50.0,9.17
408,goure,0,NE,1547170790,46,13.98,10.27,56.36,6.4
409,geraldton,90,CA,1547168400,64,49.72,-86.95,-4.01,2.24
410,bathsheba,20,BB,1547168400,74,13.22,-59.52,78.8,16.11
411,shimoda,75,JP,1547168400,53,34.7,138.93,51.8,11.41
412,tual,20,ID,1547170792,100,-5.67,132.75,81.38,8.41
413,opuwo,0,NA,1547170792,57,-18.06,13.84,55.01,2.71
414,brumado,32,BR,1547170793,92,-14.2,-41.67,68.96,6.73
415,hays,1,US,1547168160,69,38.88,-99.33,37.94,10.29
416,manokwari,12,ID,1547170793,100,-0.87,134.08,81.83,4.5
417,eyl,100,SO,1547170794,100,7.98,49.82,73.46,15.68
418,panshi,0,CN,1547170794,58,42.94,126.05,24.05,4.61
419,guanambi,44,BR,1547170794,84,-14.22,-42.78,70.63,9.42
420,tehachapi,1,US,1547168400,41,35.13,-118.45,57.2,2.71
421,ambon,90,FR,1547168400,86,47.55,-2.56,39.2,5.82
422,deniliquin,0,AU,1547170796,46,-35.53,144.96,89.93,6.17
423,aksarka,32,RU,1547170796,0,66.56,67.8,-28.02,8.3
424,port hawkesbury,90,CA,1547168400,92,45.62,-61.36,30.2,8.05
425,edd,0,ER,1547170507,87,13.93,41.69,56.23,1.14
426,papa,20,NG,1547168400,88,7.08,3.4,80.6,3.94
427,hayden,1,US,1547168280,92,47.77,-116.79,41.0,2.15
428,gizo,0,IL,1547169600,75,31.8,34.94,44.6,2.24
429,kruisfontein,56,ZA,1547170798,94,-34.0,24.73,62.66,4.5
430,broome,80,GB,1547170020,93,52.47,1.45,46.4,6.93
431,muisne,88,EC,1547170703,93,0.61,-80.02,72.97,2.59
432,moranbah,76,AU,1547170799,87,-22.0,148.04,79.94,11.99
433,kargopol,76,RU,1547170799,83,61.51,38.95,17.08,16.02
434,rosita,0,NI,1547170800,86,13.92,-84.4,70.49,3.38
435,constitucion,20,MX,1547167920,27,23.99,-104.67,64.4,14.99
436,ahuimanu,90,US,1547168220,79,21.44,-157.84,80.06,6.93
437,barauna,64,BR,1547170803,86,-14.07,-42.49,69.41,11.1
438,vila velha,0,BR,1547168400,88,-3.71,-38.6,78.8,19.46
439,avera,1,US,1547169300,72,33.19,-82.53,37.94,3.36
440,blonie,75,PL,1547170200,85,52.2,20.62,14.0,3.36
441,asyut,8,EG,1547170805,79,27.18,31.19,31.48,2.71
442,killam,48,CA,1547170805,79,52.79,-111.86,5.15,3.27
443,urengoy,36,RU,1547170806,34,65.96,78.37,-22.89,7.85
444,hohhot,0,CN,1547168400,71,40.81,111.65,8.6,2.24
445,ulagan,68,RU,1547170806,86,50.63,87.96,-2.82,2.37
446,maroantsetra,48,MG,1547170806,100,-15.43,49.74,74.32,2.71
447,yangcun,92,CN,1547170806,99,29.98,118.17,43.81,1.92
448,grindavik,75,IS,1547168400,100,63.84,-22.43,41.0,16.11
449,sisimiut,8,GL,1547170807,100,66.94,-53.67,-19.33,2.59
450,saint-doulchard,0,FR,1547168400,92,47.1,2.37,32.0,3.94
451,ray,1,US,1547169300,100,48.34,-103.17,28.4,5.17
452,bongandanga,20,CD,1547170809,93,1.51,21.07,71.3,2.37
453,argir,56,FO,1547169600,100,62.0,-6.77,44.6,10.29
454,toora-khem,76,RU,1547170810,62,52.47,96.11,-6.24,2.37
455,carbonia,0,IT,1547169600,80,39.17,8.53,35.6,8.05
456,bassano,0,CA,1547170810,62,50.79,-112.47,2.32,2.82
457,san luis,0,AR,1547170811,48,-33.3,-66.34,60.23,12.1
458,ust-ilimsk,56,RU,1547170811,62,57.96,102.73,9.11,6.51
459,marsala,20,IT,1547168100,93,37.8,12.44,42.8,1.12
460,elat,68,CM,1547170812,100,2.91,11.16,68.24,2.37
461,somerset,1,US,1547169300,63,37.09,-84.6,26.6,3.36
462,beidao,0,CN,1547170813,67,34.57,105.89,22.12,3.38
463,pataskala,90,US,1547169360,66,40.0,-82.67,26.96,6.93
464,tilichiki,44,RU,1547170813,82,60.47,166.1,22.34,9.42
465,laurel,75,US,1547167980,54,45.67,-108.77,39.92,17.22
466,mocuba,44,MZ,1547170818,88,-16.84,36.99,75.31,5.5
467,xining,0,CN,1547170818,29,36.62,101.77,14.24,3.15
468,morrope,75,PE,1547168400,29,-6.54,-80.02,66.2,10.29
469,virginia beach,1,US,1547169600,37,36.85,-75.98,37.94,13.87
470,chicama,75,PE,1547168400,88,-7.84,-79.15,73.4,9.17
471,tala,40,MX,1547167320,37,20.65,-103.7,68.0,2.15
472,fare,80,PF,1547170821,100,-16.7,-151.02,82.28,12.44
473,sibu,75,MY,1547168400,88,2.29,111.83,80.6,3.36
474,tacoronte,20,ES,1547168400,62,28.48,-16.41,59.0,8.05
475,shenjiamen,92,CN,1547170822,100,29.96,122.3,54.16,11.21
476,san rafael,0,AR,1547170823,53,-34.61,-68.33,51.19,5.73
477,kiama,75,AU,1547168400,73,-34.67,150.86,77.0,3.36
478,homer,1,US,1547167980,58,59.64,-151.54,19.94,8.63
479,atar,20,MR,1547170824,37,20.52,-13.05,43.18,3.15
480,qaqortoq,76,GL,1547170824,90,60.72,-46.03,26.53,4.27
481,mabini,90,PH,1547168400,100,7.31,125.85,77.0,6.93
482,narsaq,32,GL,1547170825,59,60.91,-46.05,13.61,3.83
483,bani walid,56,LY,1547170825,61,31.76,14.0,41.29,7.96
484,demidov,56,RU,1547170825,77,55.27,31.52,9.11,3.04
485,grand gaube,75,MU,1547168400,88,-20.01,57.66,77.0,16.11
486,bonnyville,90,CA,1547168400,78,54.27,-110.74,8.6,3.04
487,peleduy,76,RU,1547170827,80,59.63,112.75,17.21,5.73
488,buchanan,40,LR,1547166600,94,5.88,-10.05,77.0,7.96
489,lazaro cardenas,75,MX,1547167260,45,28.39,-105.62,66.2,6.93
490,nago,0,IT,1547169600,74,45.88,10.89,33.8,4.7
491,san quintin,0,PH,1547170829,58,17.54,120.52,82.19,4.05
492,carnduff,0,CA,1547170829,48,49.17,-101.8,5.02,4.61
493,goulburn,48,AU,1547170829,81,-34.75,149.72,78.37,4.16
494,san ramon,48,NI,1547170830,92,12.92,-85.84,65.45,2.04
495,truth or consequences,90,US,1547167980,95,33.13,-107.25,44.06,3.71
496,blacklick estates,90,US,1547169360,66,39.91,-82.86,26.96,6.93
497,fairbanks,1,US,1547168280,74,64.84,-147.72,-25.07,3.15
498,kingaroy,44,AU,1547170832,59,-26.54,151.84,80.3,14.67
499,yerbogachen,0,RU,1547170833,55,61.28,108.01,-1.33,7.63
500,tombouctou,0,ML,1547170834,55,16.77,-3.01,50.51,3.38
501,bernal,0,AR,1547168400,68,-34.72,-58.3,64.4,9.17
502,filadelfia,80,PY,1547170836,87,-22.35,-60.04,76.25,7.29
503,taft,80,PH,1547170836,88,11.9,125.42,80.89,17.02
504,hami,76,CN,1547170837,69,42.84,93.51,10.24,4.05
505,nichinan,75,JP,1547168400,57,31.65,131.31,51.8,5.82
506,hamilton,75,CA,1547168940,72,43.26,-79.87,19.4,10.29
507,contamana,48,PE,1547170841,95,-7.35,-75.01,74.54,2.04
508,barentu,0,ER,1547170842,86,15.11,37.59,47.45,4.27
509,sibolga,36,ID,1547170842,87,1.74,98.78,77.24,1.36
510,flinders,75,AU,1547168400,73,-34.58,150.85,77.0,3.36
511,hauge,36,NO,1547169600,65,59.25,10.99,44.6,9.17
512,mandalgovi,0,MN,1547170845,56,45.76,106.27,-0.43,5.17
513,svetlaya,0,RU,1547170846,100,46.54,138.33,18.83,9.42
514,sokoni,88,CD,1547170847,98,-12.89,28.78,64.28,4.5
515,voineasa,90,RO,1547168400,100,45.42,23.96,26.6,3.36
516,anadyr,90,RU,1547168400,78,64.73,177.51,14.0,35.79
517,izvoarele,92,RO,1547170848,91,45.55,27.77,25.18,18.81
518,vao,88,EE,1547170848,90,59.1,26.19,22.66,15.68
519,aleksandrovka,92,RU,1547170849,85,46.65,38.4,36.52,17.69
520,yola,0,NG,1547170850,74,9.26,12.45,57.71,1.7
521,cabedelo,20,BR,1547168400,88,-6.97,-34.84,77.0,4.7
522,scarborough,68,GB,1547167800,81,54.28,-0.41,44.6,5.82
523,honningsvag,80,NO,1547170852,100,70.98,25.97,32.69,20.15
524,evensk,88,RU,1547170852,97,61.92,159.24,23.74,11.77
525,urdoma,68,RU,1547170854,81,61.74,48.55,16.54,7.96
526,gladstone,40,AU,1547168400,61,-23.84,151.26,80.6,13.87
527,agua dulce,75,MX,1547168160,69,18.14,-94.15,75.2,11.41
528,fallon,1,US,1547168160,78,46.84,-105.12,32.0,6.93
529,samarai,0,PG,1547170857,99,-10.62,150.67,84.67,12.21
530,gonzalez,88,CO,1547170858,71,8.39,-73.38,70.4,1.7
531,nelson bay,0,AU,1547168400,78,-32.72,152.14,77.0,11.41
532,kathmandu,40,NP,1547167800,100,27.71,85.32,41.0,3.36
533,sampit,80,ID,1547170858,100,-2.54,112.95,81.61,5.73
534,pinheiro,92,BR,1547170859,98,-2.53,-45.09,71.89,2.71
535,zhigansk,68,RU,1547170860,0,66.77,123.37,-32.97,5.73
536,sideropolis,32,BR,1547170860,97,-28.6,-49.42,73.24,2.59
537,wahiawa,90,US,1547168220,69,21.5,-158.02,80.06,8.05
538,mpika,88,ZM,1547170862,98,-11.84,31.4,62.66,3.6
539,horsham,0,AU,1547170862,64,-36.71,142.2,79.18,6.51
540,itupiranga,75,BR,1547168400,94,-5.13,-49.33,75.2,2.24
541,bulgan,32,MN,1547170864,45,48.81,103.53,0.79,2.71
542,tiznit,0,MA,1547170864,97,29.7,-9.73,44.84,3.94
543,santa marta,20,CO,1547168400,65,11.24,-74.21,78.8,18.34
544,catio,20,GW,1547170865,88,11.28,-15.25,66.94,2.71
545,leticia,40,CO,1547168400,100,-4.21,-69.94,77.0,4.16
546,cherepovets,80,RU,1547170866,87,59.13,37.92,11.86,11.77
547,debno,88,PL,1547170866,91,52.74,14.7,26.62,8.19
548,khorixas,0,NA,1547170867,85,-20.37,14.96,47.0,2.59
549,areosa,0,PT,1547168400,45,41.72,-8.86,48.2,14.99
550,kautokeino,12,NO,1547170867,78,69.01,23.04,26.71,11.88
551,mogadishu,0,SO,1547170868,100,2.04,45.34,78.5,23.29
552,ternate,75,PH,1547168400,65,14.29,120.72,82.4,9.17
